0,1
Sales Related :,
We are approving an amount of  Rs 19611874 as a one-off sales support for the month(s) of  June'25,
Claims Split,
Supplier,Bifurcation of Total Support
GLOBAL_MARKETING_DEL,
"Ganesh Enterprises, Bangalore",5295206
"FHPL_MamyPoko, Mumbai",1961187
JoyGuru Trading House (Will be raised for FHPL),4902969
"FHPL,Bangalore",3530137
"FHPL, Hyderabad (Raise to Matrix)",1568950
"Swati Enterprises, Chennai",980594
"Agarwal Distributor, Lucknow",1176712
"Durai and Co, Coimbatore",196119
Grand Total,19611874
